id,username,full_name,link,biography,is_private,followers,following,posts,external_url,is_business_account,is_professional_account,is_verified
74228157697,heavybjjlpo,Gabriel Rock,https://www.instagram.com/heavybjjlpo/,,False,107,4319,0,None,False,False,False
76703558590,ex3me__,Ex3me,https://www.instagram.com/ex3me__/,---Perfil Novo 🤡---</b>- Cosplayer 🎩</b>- Streamer 🎮</b>- Pessoal 👨🏻</b>.</b>"como a Meta não tem funcionário</c> tive que criar outra conta",False,37,25,3,None,False,True,False
8672276193,ruizuu.cos,Luiz Filipe Ruizu,https://www.instagram.com/ruizuu.cos/,🛡️ Cosplayer </b>🎂 16/02,False,922,905,21,http://twitch.tv/itadoritt,False,False,False
2257566297,marceloeselma2011,Selma Oliveira,https://www.instagram.com/marceloeselma2011/,,False,318,7500,3,None,False,False,False
66316287313,gardine3011,Ga,https://www.instagram.com/gardine3011/,Vocalista de banda,False,89,488,2,None,False,False,False
70605136230,kath_juliee,Kath Julie,https://www.instagram.com/kath_juliee/,@ruhh_santos07 ❤️</b>leão ♌ 2000,False,121,138,7,None,False,False,False
237532295,selma425gmailcom,Selma Oliveira,https://www.instagram.com/selma425gmailcom/,,True,169,5455,19,None,False,False,False
74228074635,expressao.geek,Expressão Geek,https://www.instagram.com/expressao.geek/,FOTOS 1° EDIÇÃO 👇,False,1167,490,111,https://drive.google.com/drive/folders/1_KCWiRxHfSA0uY58CTI9ILHXqs5VebQF?usp=sharing,False,True,False
354097351,luize.rezende,,https://www.instagram.com/luize.rezende/,ânimo</c> força e coragem 🖤</b>católica</c>corintiana</c> casada & farmacêutica</b>eu sou o quase.,True,277,525,96,None,False,False,False
9014252992,nicole_caroline_75,Nicole Caroline,https://www.instagram.com/nicole_caroline_75/,Que a gente continue gigante diante de coisas que tentam nos fazer pequenos!</b>Gêmeos ♊😌</b>Vai Corinthians 🦅🙅🏽‍♀️😎🔥🤍🖤,True,218,284,365,None,False,False,False
63333328466,pauloamorimv,paulo roberto,https://www.instagram.com/pauloamorimv/,@afro.loma ❤️‍🔥💍,False,126,198,1,None,False,False,False
10972826405,meneghxtti,Lucas Meneghetti,https://www.instagram.com/meneghxtti/,• 💍</b>• 🎮 Gamer nas horas vagas</b>•📍 De boas no caos (ou quase)</b>• 🏋🏻‍♂️ Na missão diária de virar minha melhor versão</b>• 📺 Viciado em séries e cultura geek,True,1438,5244,14,https://twitch.tv/meneghettix,False,False,False
76109394611,gabrielgenda29_,Gabriel Genda,https://www.instagram.com/gabrielgenda29_/,A OUTRA CONTA FOI HACKEADA/INVADIDA !!!!! ME SIGAM NESSA AQUI,True,100,127,2,None,False,False,False
2100723964,llua_vasconcelos,Luana Vasconcelos,https://www.instagram.com/llua_vasconcelos/,° Criando memórias</c> um dia de cada vez! ✨</b>° Formada em RH 🧑🏻‍🎓 </b>° Mãe do Levi 💚</b>@leo_froost 💍,True,1449,1986,198,None,False,False,False
75907937166,emyngch_,野口ちえみ,https://www.instagram.com/emyngch_/,,True,46,189,7,None,False,False,False
71872431819,professormaluco13,Professor maluco,https://www.instagram.com/professormaluco13/,,False,20,51,1,None,True,True,False
26925398322,opsicologizando,Gustavo Piffer,https://www.instagram.com/opsicologizando/,Psicólogo/Palestrante</b>Tutor/Professor/Escritor</b>Gustavo H.Piffer Gaino</b>🎈Psicologia</b>📚 Sócio proprietário @opsicologizando</b>⬇️ Links úteis,False,2855,4901,153,https://linktr.ee/psigustavopiffer,True,True,False
74836018869,gendagabriel_,Genda Gabriel,https://www.instagram.com/gendagabriel_/,@ somente para amigos!</b>"If I can't be my own</c> I'd feel better dead"</b>⚠️🖕🏻☠🏴‍☠️,True,94,143,2,None,False,False,False
9292545345,daniel_bonane28,Daniel Bonane,https://www.instagram.com/daniel_bonane28/,Nunca é tarde para fazer o que ainda movimenta os seus sonhos.😊 </b>FM/SP</b>28-years</b>📖-História licenciatura </b>♓Peixes ascendente Áries♈,True,348,1158,38,None,False,False,False
4172699973,psilva_amanda08,Amanda Silva,https://www.instagram.com/psilva_amanda08/,A misericórdia de Deus é infinita ❤,False,646,787,60,None,False,False,False
4756815568,_tbeato,Thai Alves,https://www.instagram.com/_tbeato/,2.1💫</b>Francisco Morato-SP 🌍,False,293,2207,45,None,False,True,False
761766262,_paaulinh4,Paula Oliveira,https://www.instagram.com/_paaulinh4/,SALMOS</c> 17:08</b>24y 🌸</b>📚☢️,True,1195,1111,6,None,False,False,False
21980518716,click.kurama,Click.kurama,https://www.instagram.com/click.kurama/,@felipeyuichi,False,718,1460,172,None,False,True,False
50661435492,isaazxsouza_,Isa França,https://www.instagram.com/isaazxsouza_/,sp,False,499,469,0,None,False,False,False
8096309824,ruhh_santos07,Ruth Santos,https://www.instagram.com/ruhh_santos07/,❤️Ka_juliee🥰</b>Family🌻❤️,True,483,436,73,None,False,False,False
71383758885,flav.iaverginio5,Flavia De Paula,https://www.instagram.com/flav.iaverginio5/,Deus é fiel,True,665,3385,10,None,False,False,False
